size, Fall Factor,hits, misses, hitRatio, missRatio, executionTime,
3, 0.9,410, 9515, 0.041, 0.9515, 13008,
4, 0.9,552, 9373, 0.0552, 0.9373, 13000,
5, 0.9,667, 9258, 0.0667, 0.9258, 13000,
6, 0.9,798, 9127, 0.0798, 0.9127, 12033,
7, 0.9,947, 8978, 0.0947, 0.8978, 13001,
8, 0.9,1065, 8860, 0.1065, 0.886, 13001,
9, 0.9,1194, 8731, 0.1194, 0.8731, 12012,
10, 0.9,1318, 8607, 0.1318, 0.8607, 12001,
11, 0.9,1444, 8481, 0.1444, 0.8481, 11999,
12, 0.9,1569, 8356, 0.1569, 0.8356, 11999,
13, 0.9,1701, 8224, 0.1701, 0.8224, 12967,
14, 0.9,1834, 8091, 0.1834, 0.8091, 11996,
15, 0.9,1988, 7937, 0.1988, 0.7937, 11000,
16, 0.9,2109, 7816, 0.2109, 0.7816, 13001,
17, 0.9,2226, 7699, 0.2226, 0.7699, 12000,
18, 0.9,2355, 7570, 0.2355, 0.757, 13029,
19, 0.9,2500, 7425, 0.25, 0.7425, 12001,
20, 0.9,2640, 7285, 0.264, 0.7285, 12999,
21, 0.9,2770, 7155, 0.277, 0.7155, 12971,
22, 0.9,2888, 7037, 0.2888, 0.7037, 11999,
23, 0.9,3009, 6916, 0.3009, 0.6916, 12002,
24, 0.9,3142, 6783, 0.3142, 0.6783, 12014,
25, 0.9,3281, 6644, 0.3281, 0.6644, 11986,
26, 0.9,3428, 6497, 0.3428, 0.6497, 11925,
27, 0.9,3573, 6352, 0.3573, 0.6352, 14988,
28, 0.9,3689, 6236, 0.3689, 0.6236, 12994,
29, 0.9,3834, 6091, 0.3834, 0.6091, 11998,
30, 0.9,3971, 5954, 0.3971, 0.5954, 12002,
31, 0.9,4112, 5813, 0.4112, 0.5813, 11021,
32, 0.9,4237, 5688, 0.4237, 0.5688, 11000,
33, 0.9,4376, 5549, 0.4376, 0.5549, 12036,
34, 0.9,4498, 5427, 0.4498, 0.5427, 11000,
35, 0.9,4654, 5271, 0.4654, 0.5271, 9999,
36, 0.9,4796, 5129, 0.4796, 0.5129, 12002,
37, 0.9,4927, 4998, 0.4927, 0.4998, 11969,
38, 0.9,5064, 4861, 0.5064, 0.4861, 10997,
39, 0.9,5197, 4728, 0.5197, 0.4728, 12036,
40, 0.9,5339, 4586, 0.5339, 0.4586, 10035,
41, 0.9,5478, 4447, 0.5478, 0.4447, 12048,
42, 0.9,5625, 4300, 0.5625, 0.43, 12041,
43, 0.9,5740, 4185, 0.574, 0.4185, 9998,
44, 0.9,5872, 4053, 0.5872, 0.4053, 12128,
45, 0.9,6002, 3923, 0.6002, 0.3923, 12013,
46, 0.9,6112, 3813, 0.6112, 0.3813, 11019,
47, 0.9,6241, 3684, 0.6241, 0.3684, 10009,
48, 0.9,6376, 3549, 0.6376, 0.3549, 10968,
49, 0.9,6519, 3406, 0.6519, 0.3406, 12222,
