size, hits, misses, hitRatio, missRatio, executionTime,
3, 2765, 7136, 0.2765, 0.7136, 7996,
4, 3263, 6638, 0.3263, 0.6638, 7998,
5, 3465, 6436, 0.3465, 0.6436, 12001,
6, 3732, 6169, 0.3732, 0.6169, 8000,
7, 3913, 5988, 0.3913, 0.5988, 11999,
8, 4189, 5712, 0.4189, 0.5712, 12007,
9, 4282, 5619, 0.4282, 0.5619, 12004,
10, 4400, 5501, 0.44, 0.5501, 12022,
11, 4460, 5441, 0.446, 0.5441, 7993,
12, 4707, 5194, 0.4707, 0.5194, 12008,
13, 4785, 5116, 0.4785, 0.5116, 7994,
14, 4981, 4920, 0.4981, 0.492, 12009,
15, 5073, 4828, 0.5073, 0.4828, 11970,
16, 5135, 4766, 0.5135, 0.4766, 11995,
17, 5253, 4648, 0.5253, 0.4648, 12029,
18, 5424, 4477, 0.5424, 0.4477, 7995,
19, 5481, 4420, 0.5481, 0.442, 12046,
20, 5624, 4277, 0.5624, 0.4277, 11994,
21, 5685, 4216, 0.5685, 0.4216, 11969,
22, 5738, 4163, 0.5738, 0.4163, 12031,
23, 5796, 4105, 0.5796, 0.4105, 12005,
24, 5854, 4047, 0.5854, 0.4047, 12004,
25, 5999, 3902, 0.5999, 0.3902, 7997,
26, 6039, 3862, 0.6039, 0.3862, 11993,
27, 6104, 3797, 0.6104, 0.3797, 12000,
28, 6090, 3811, 0.609, 0.3811, 13721,
29, 6110, 3791, 0.611, 0.3791, 12032,
30, 6231, 3670, 0.6231, 0.367, 12044,
31, 6303, 3598, 0.6303, 0.3598, 14128,
32, 6377, 3524, 0.6377, 0.3524, 14105,
33, 6461, 3440, 0.6461, 0.344, 12290,
34, 6483, 3418, 0.6483, 0.3418, 14226,
35, 6544, 3357, 0.6544, 0.3357, 14134,
36, 6616, 3285, 0.6616, 0.3285, 12787,
37, 6682, 3219, 0.6682, 0.3219, 10122,
38, 6759, 3142, 0.6759, 0.3142, 14088,
39, 6833, 3068, 0.6833, 0.3068, 13762,
40, 6931, 2970, 0.6931, 0.297, 12232,
41, 6996, 2905, 0.6996, 0.2905, 13637,
42, 7033, 2868, 0.7033, 0.2868, 12724,
43, 7077, 2824, 0.7077, 0.2824, 13295,
44, 7108, 2793, 0.7108, 0.2793, 14172,
45, 7139, 2762, 0.7139, 0.2762, 16112,
46, 7225, 2676, 0.7225, 0.2676, 13654,
47, 7281, 2620, 0.7281, 0.262, 11318,
48, 7317, 2584, 0.7317, 0.2584, 16045,
49, 7359, 2542, 0.7359, 0.2542, 16100,
