size, window,hits, misses, hitRatio, missRatio, executionTime,
3, 4,531, 9414, 0.0531, 0.9414, 12004,
4, 4,709, 9236, 0.0709, 0.9236, 11028,
5, 4,904, 9041, 0.0904, 0.9041, 12002,
6, 4,1095, 8850, 0.1095, 0.885, 9958,
7, 4,1245, 8700, 0.1245, 0.87, 12010,
8, 4,1413, 8532, 0.1413, 0.8532, 12020,
9, 4,1597, 8348, 0.1597, 0.8348, 10968,
10, 4,1768, 8177, 0.1768, 0.8177, 11000,
11, 4,1952, 7993, 0.1952, 0.7993, 12000,
12, 4,2125, 7820, 0.2125, 0.782, 10000,
13, 4,2291, 7654, 0.2291, 0.7654, 11000,
14, 4,2481, 7464, 0.2481, 0.7464, 10000,
15, 4,2647, 7298, 0.2647, 0.7298, 8999,
16, 4,2840, 7105, 0.284, 0.7105, 11001,
17, 4,3047, 6898, 0.3047, 0.6898, 10000,
18, 4,3219, 6726, 0.3219, 0.6726, 10000,
19, 4,3431, 6514, 0.3431, 0.6514, 10000,
20, 4,3611, 6334, 0.3611, 0.6334, 9006,
21, 4,3769, 6176, 0.3769, 0.6176, 12007,
22, 4,3924, 6021, 0.3924, 0.6021, 10005,
23, 4,4109, 5836, 0.4109, 0.5836, 8982,
24, 4,4298, 5647, 0.4298, 0.5647, 9002,
25, 4,4494, 5451, 0.4494, 0.5451, 8998,
26, 4,4659, 5286, 0.4659, 0.5286, 9000,
27, 4,4872, 5073, 0.4872, 0.5073, 9043,
28, 4,5083, 4862, 0.5083, 0.4862, 8999,
29, 4,5262, 4683, 0.5262, 0.4683, 8006,
30, 4,5425, 4520, 0.5425, 0.452, 8999,
31, 4,5599, 4346, 0.5599, 0.4346, 7996,
32, 4,5761, 4184, 0.5761, 0.4184, 6994,
33, 4,5942, 4003, 0.5942, 0.4003, 9006,
34, 4,6127, 3818, 0.6127, 0.3818, 9000,
35, 4,6316, 3629, 0.6316, 0.3629, 7998,
36, 4,6489, 3456, 0.6489, 0.3456, 7998,
37, 4,6668, 3277, 0.6668, 0.3277, 9977,
38, 4,6871, 3074, 0.6871, 0.3074, 8996,
39, 4,7059, 2886, 0.7059, 0.2886, 7034,
40, 4,7252, 2693, 0.7252, 0.2693, 9001,
41, 4,7453, 2492, 0.7453, 0.2492, 7000,
42, 4,7604, 2341, 0.7604, 0.2341, 7998,
43, 4,7792, 2153, 0.7792, 0.2153, 6996,
44, 4,7992, 1953, 0.7992, 0.1953, 7003,
45, 4,8187, 1758, 0.8187, 0.1758, 6002,
46, 4,8360, 1585, 0.836, 0.1585, 5993,
47, 4,8560, 1385, 0.856, 0.1385, 6961,
48, 4,8743, 1202, 0.8743, 0.1202, 6000,
49, 4,8898, 1047, 0.8898, 0.1047, 5999,
